name,email,password,district,specializationName,availability,bio,qualifications,languages,experienceYears,location,photoUrl,verificationStatus
"Dr. Anjali Nair",anjali.nair@email.com,hashed_password_placeholder,Thiruvananthapuram,Cardiologist,"[{""day"":""Monday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]}]","A senior cardiologist with 18 years of experience in interventional cardiology. Based in Thiruvananthapuram, focused on advanced cardiac care and patient education.","MBBS, MD (General Medicine), DM (Cardiology)","Malayalam, English, Tamil",18,"8.5241,76.9366","https://example.com/photos/anjali_nair.jpg",Approved
"Dr. Biju Menon",biju.menon@email.com,hashed_password_placeholder,Thiruvananthapuram,Cardiologist,"[{""day"":""Tuesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]}]","Specializes in preventative cardiology and managing chronic heart conditions. Committed to the well-being of the Thiruvananthapuram community.","MBBS, DNB (Cardiology)","Malayalam, English",12,"8.5230,76.9401","https://example.com/photos/biju_menon.jpg",Approved
"Dr. Priya Varma",priya.varma@email.com,hashed_password_placeholder,Thiruvananthapuram,Neurologist,"[{""day"":""Monday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""10:00"",""endTime"":""16:00""}]}]","Expert in treating stroke and epilepsy. Has been a leading neurologist in Thiruvananthapuram for over a decade, known for her compassionate patient care.","MBBS, MD (General Medicine), DM (Neurology)","Malayalam, English",15,"8.5255,76.9322","https://example.com/photos/priya_varma.jpg",Approved
"Dr. Suresh Kumar",suresh.kumar@email.com,hashed_password_placeholder,Thiruvananthapuram,Neurologist,"[]","Availability: By Appointment. Focuses on movement disorders like Parkinson's disease and headaches. Provides comprehensive neurological consultations in the heart of the city.","MBBS, DNB (Neurology)","Malayalam, English, Hindi",9,"8.5200,76.9389","https://example.com/photos/suresh_kumar.jpg",Approved
"Dr. Mohan Thomas",mohan.thomas@email.com,hashed_password_placeholder,Thiruvananthapuram,Orthopedic Surgeon,"[{""day"":""Monday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""09:00"",""endTime"":""17:00""}]}]","Specializes in joint replacement and sports injuries. A renowned orthopedic surgeon in Thiruvananthapuram with a focus on minimally invasive techniques.","MBBS, MS (Orthopedics)","Malayalam, English",20,"8.5195,76.9415","https://example.com/photos/mohan_thomas.jpg",Approved
"Dr. Lakshmi Pillai",lakshmi.pillai@email.com,hashed_password_placeholder,Thiruvananthapuram,Orthopedic Surgeon,"[{""day"":""Monday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""17:00"",""endTime"":""20:00""}]}]","Dedicated to pediatric orthopedics and trauma care. Her clinic in Thiruvananthapuram is well-equipped for a range of orthopedic procedures.","MBBS, D-Ortho, DNB (Orthopedics)","Malayalam, English",11,"8.5263,76.9300","https://example.com/photos/lakshmi_pillai.jpg",Approved
"Dr. Fatima Rasheed",fatima.rasheed@email.com,hashed_password_placeholder,Thiruvananthapuram,Dermatologist,"[{""day"":""Monday"",""slots"":[{""startTime"":""11:00"",""endTime"":""19:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""11:00"",""endTime"":""19:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""11:00"",""endTime"":""19:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""11:00"",""endTime"":""19:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""11:00"",""endTime"":""19:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""11:00"",""endTime"":""19:00""}]}]","A leading dermatologist in Thiruvananthapuram specializing in cosmetic dermatology and clinical dermatology for all age groups.","MBBS, MD (Dermatology, Venereology & Leprosy)","Malayalam, English",14,"8.5218,76.9375","https://example.com/photos/fatima_rasheed.jpg",Approved
"Dr. George Kurian",george.kurian@email.com,hashed_password_placeholder,Thiruvananthapuram,Dermatologist,"[{""day"":""Tuesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""14:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""09:00"",""endTime"":""14:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""09:00"",""endTime"":""14:00""}]}]","Experienced in treating chronic skin conditions like psoriasis and eczema. Provides personalized care plans for his patients.","MBBS, DDVL","Malayalam, English",10,"8.5270,76.9350","https://example.com/photos/george_kurian.jpg",Approved
"Dr. Susan Varghese",susan.varghese@email.com,hashed_password_placeholder,Thiruvananthapuram,Pediatrician,"[{""day"":""Monday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""10:00"",""endTime"":""18:00""}]}]","A compassionate pediatrician with a focus on early childhood development and vaccination schedules. Beloved by children and parents in Thiruvananthapuram.","MBBS, MD (Pediatrics)","Malayalam, English",16,"8.5225,76.9398","https://example.com/photos/susan_varghese.jpg",Approved
"Dr. Rajesh Panicker",rajesh.panicker@email.com,hashed_password_placeholder,Thiruvananthapuram,Pediatrician,"[{""day"":""Monday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Tuesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Wednesday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Thursday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Friday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]},{""day"":""Saturday"",""slots"":[{""startTime"":""09:00"",""endTime"":""13:00""}]}]","Specializes in neonatal care and adolescent health. A trusted name for child healthcare in the capital city.","MBBS, DCH (Diploma in Child Health)","Malayalam, English",13,"8.5248,76.9311","https://example.com/photos/rajesh_panicker.jpg",Approved
